channel,pMP_U,pMP_p,pMP_AUC,pMP_median_control,pMP_median_MDD,pMP_n_control,pMP_n_MDD,HFD_U,HFD_p,HFD_AUC,HFD_median_control,HFD_median_MDD,HFD_n_control,HFD_n_MDD,pMP_pBonf,pMP_sig_p<0.05,pMP_sig_pBonf<0.05,pMP_sig_frontier,HFD_pBonf,HFD_sig_p<0.05,HFD_sig_pBonf<0.05,HFD_sig_frontier
1,288.0,0.8066606559445169,0.5217391304347826,18.964377319620745,18.959640732849,24,23,270.0,0.9068221962682691,0.4891304347826087,0.5362589426951534,0.5455803476480665,24,23,30.710781480608016,False,False,False,34.551740372517486,False,False,False
2,291.0,0.7576406619373144,0.5271739130434783,18.90511459472389,18.829396675063904,24,23,287.0,0.8231815274918841,0.519927536231884,0.5527431434611569,0.5584795160165881,24,23,30.848490203287422,False,False,False,30.33879806443847,False,False,False
3,308.0,0.5026254477381114,0.5579710144927537,18.872436176049238,18.596943258316163,24,23,266.0,0.8397811470865129,0.48188405797101447,0.5705705986376239,0.577755589675268,24,23,31.665403207501015,False,False,False,9.06822196268269,False,False,False
4,301.0,0.6020918949814629,0.5452898550724637,18.701059624121392,18.62351757647442,24,23,273.0,0.9575697405400247,0.4945652173913043,0.5605283602210196,0.5807027159305556,24,23,31.4933643654037,False,False,False,15.640449022345798,False,False,False
5,314.0,0.4248397357489112,0.5688405797101449,18.6020098807443,18.26652203888569,24,23,253.0,0.6320582930091349,0.4583333333333333,0.5451436083980975,0.5726959342402345,24,23,31.93468465308278,False,False,False,36.18903223714402,False,False,False
6,323.0,0.32237665407895655,0.5851449275362319,18.557889015007863,18.217978049861895,24,23,254.0,0.6472754956287547,0.4601449275362319,0.5417868366622309,0.5549204147955413,24,23,31.162777759762903,False,False,False,37.6529399418112,False,False,False
7,321.0,0.3436271148554936,0.5815217391304348,18.572273566538563,18.26226919403173,24,23,254.0,0.6472754956287547,0.4601449275362319,0.5445175079692116,0.5476924136581067,24,23,31.30259963727565,False,False,False,37.810736481653095,False,False,False
8,253.0,0.6320582930091349,0.4583333333333333,18.668941914175676,18.79491047284578,24,23,341.0,0.16986082052303642,0.6177536231884058,0.4911438345168625,0.4581302787550755,24,23,30.322037411233232,False,False,False,33.70464301813769,False,False,False
9,299.0,0.6320582930091349,0.5416666666666666,18.918182130827574,18.669939057397343,24,23,299.0,0.6320582930091349,0.5416666666666666,0.5554652966914739,0.549543376307656,24,23,30.442802506145224,False,False,False,11.133880397951263,False,False,False
10,300.0,0.6169953637949551,0.5434782608695652,18.79420919557939,18.47127059775705,24,23,254.0,0.6472754956287547,0.4601449275362319,0.5635379039679268,0.5761587767297435,24,23,31.496844933027386,False,False,False,16.834095316813617,False,False,False
11,306.0,0.5301338579431278,0.5543478260869565,18.74460644705589,18.36577753855037,24,23,251.0,0.6020918949814629,0.45471014492753625,0.5415929725097055,0.5697356787208427,24,23,31.86298018116834,False,False,False,8.161399766414421,False,False,False
12,314.0,0.4248397357489112,0.5688405797101449,18.580670502022024,18.29420457692009,24,23,249.0,0.5727830892082293,0.45108695652173914,0.5396144694026271,0.5645922784660129,24,23,32.396754788256736,False,False,False,36.197818508635066,False,False,False
13,320.0,0.35458034716422326,0.5797101449275363,18.572708095101873,18.22087279912415,24,23,264.0,0.8066606559445169,0.4782608695652174,0.5443030407816546,0.554420280393854,24,23,30.239186107283434,False,False,False,33.39256299019197,False,False,False
14,279.0,0.9575697405400247,0.5054347826086957,18.846247313577084,18.755647832838704,24,23,264.0,0.8066606559445169,0.4782608695652174,0.5317510472714266,0.5491657599663355,24,23,27.76479137077298,False,False,False,36.686978218211216,False,False,False
15,279.0,0.9575697405400247,0.5054347826086957,18.90349410964647,18.59243576006016,24,23,284.0,0.8731878288255717,0.5144927536231884,0.559753944669309,0.5488104350292092,24,23,29.933293341858445,False,False,False,16.939873774834854,False,False,False
16,290.0,0.7738833276987518,0.5253623188405797,18.768039922439343,18.399337578355865,24,23,270.0,0.9068221962682691,0.4891304347826087,0.5430371855827725,0.5595720621937891,24,23,31.471863136371436,False,False,False,38.37139497746162,False,False,False
17,281.0,0.9237061355849945,0.5090579710144928,18.835324428887425,18.64492097010837,24,23,264.0,0.8066606559445169,0.4782608695652174,0.5400288194505025,0.5539400473704037,24,23,31.946799860642063,False,False,False,33.93474500872253,False,False,False
18,283.0,0.8899802599450805,0.5126811594202898,18.681021973159407,18.514756862665276,24,23,294.0,0.7095766425318525,0.532608695652174,0.5573297146174385,0.553951636805024,24,23,29.658652175264002,False,False,False,34.59107233577128,False,False,False
19,303.0,0.5727830892082293,0.5489130434782609,18.70084882904453,18.395590060845297,24,23,265.0,0.8231815274918841,0.48007246376811596,0.5517607540607541,0.5700300155736362,24,23,29.98102882934296,False,False,False,35.3710058619683,False,False,False
20,311.0,0.46282151671134464,0.5634057971014492,18.652551254889943,18.40688837192763,24,23,282.0,0.9068221962682691,0.5108695652173914,0.5616745763680553,0.5789284403789872,24,23,29.594517124011073,False,False,False,21.336091299424442,False,False,False
21,295.0,0.693798003649465,0.5344202898550725,18.912545840304745,18.640276930538487,24,23,346.0,0.13912475468441005,0.6268115942028986,0.5519560956860631,0.5302885896419792,24,23,29.036130008463694,False,False,False,12.347722912378261,False,False,False
22,290.0,0.7738833276987518,0.5253623188405797,18.746884662021323,18.63289231644476,24,23,334.0,0.221072490664723,0.605072463768116,0.5646514968256596,0.5277930234305279,24,23,27.810564892401935,False,False,False,7.254577570146153,False,False,False
23,299.0,0.6320582930091349,0.5416666666666666,18.81588609894938,18.511181162184123,24,23,300.0,0.6169953637949551,0.5434782608695652,0.5674204547113546,0.5493793632252231,24,23,30.217629902758286,False,False,False,36.93068659060457,False,False,False
24,307.0,0.5162846617279295,0.5561594202898551,18.76757493261519,18.67832155050585,24,23,263.0,0.7902256036823868,0.47644927536231885,0.5629943518146183,0.5949594396491811,24,23,31.884678065578683,False,False,False,19.75564009205967,False,False,False
25,254.0,0.6472754956287547,0.4601449275362319,18.74249535221441,18.771739294386386,24,23,284.0,0.8731878288255717,0.5144927536231884,0.47851542715434403,0.5072466851001053,24,23,19.75564009205967,False,False,False,14.817267494853914,False,False,False
26,272.0,0.9406245188913854,0.4927536231884058,18.85426605126458,18.790125783042683,24,23,287.0,0.8231815274918841,0.519927536231884,0.5419037659110116,0.537777087635287,24,23,27.035111332537877,False,False,False,35.68640678940591,False,False,False
27,295.0,0.693798003649465,0.5344202898550725,18.868604705522174,19.00019827378638,24,23,237.0,0.4125956449189422,0.42934782608695654,0.5794562327988841,0.5949296949026744,24,23,31.30622141287357,False,False,False,10.47825394590686,False,False,False
28,307.0,0.5162846617279295,0.5561594202898551,18.731190608140174,18.583391586011384,24,23,254.0,0.6472754956287547,0.4601449275362319,0.5824491838550943,0.5986312849050556,24,23,30.92545988260968,False,False,False,30.421948294551473,False,False,False
29,318.0,0.3771397546659717,0.5760869565217391,18.642189579824635,18.420119151854852,24,23,246.0,0.5301338579431278,0.44565217391304346,0.5752099636411699,0.5917903461770246,24,23,31.408787348181985,False,False,False,36.100078303484885,False,False,False
30,331.0,0.2461151672187305,0.5996376811594203,18.631830509305495,18.267919010584603,24,23,261.0,0.7576406619373144,0.47282608695652173,0.5702964971034421,0.5745571809548831,24,23,31.438140445419428,False,False,False,27.168305235708306,False,False,False
31,324.0,0.3120800279457193,0.5869565217391305,18.55493383903682,18.44929088914113,24,23,234.0,0.3771397546659717,0.42391304347826086,0.5559939091490878,0.570275326754033,24,23,27.696227169147292,False,False,False,36.959695957265225,False,False,False
32,272.0,0.9406245188913854,0.4927536231884058,18.85376296162837,18.938019301506728,24,23,267.0,0.8564523383039433,0.483695652173913,0.5298975820422882,0.5350883848828787,24,23,15.71738091886029,False,False,False,16.13321311889034,False,False,False
33,299.0,0.6320582930091349,0.5416666666666666,18.88106584609597,19.00123331999025,24,23,278.0,0.9745341584953889,0.5036231884057971,0.5617167258647844,0.5683955725536878,24,23,30.582813222138928,False,False,False,35.16873573631244,False,False,False
34,311.0,0.46282151671134464,0.5634057971014492,18.905990308286633,18.988732956534008,24,23,228.0,0.3120800279457193,0.41304347826086957,0.5638080870162453,0.61485925753731,24,23,31.79538112244972,False,False,False,22.442616503263803,False,False,False
35,319.0,0.3657515014317637,0.5778985507246377,18.84516542112733,18.76764273009749,24,23,203.0,0.12285444338664299,0.3677536231884058,0.5763458917195039,0.6190175278021518,24,23,27.68538921856573,False,False,False,35.183781341667796,False,False,False
36,339.0,0.18348917031903877,0.6141304347826086,18.78478167464572,18.64156311693845,24,23,223.0,0.26387710472720083,0.40398550724637683,0.5894279710561006,0.6098163713743568,24,23,30.747763760701414,False,False,False,37.3066531460399,False,False,False
37,340.0,0.17657702124569574,0.6159420289855072,18.717218226349164,18.392710060010245,24,23,238.0,0.4248397357489112,0.4311594202898551,0.5736045238203735,0.5943428481250117,24,23,25.243744329521434,False,False,False,35.24117250099796,False,False,False
38,270.0,0.9068221962682691,0.4891304347826087,18.86983801875154,18.955922782584608,24,23,257.0,0.693798003649465,0.46557971014492755,0.5539395017176992,0.5563815412293827,24,23,26.546448306383663,False,False,False,39.08525568889983,False,False,False
39,304.0,0.5583871155473787,0.5507246376811594,18.919628467668943,18.90597000476059,24,23,263.0,0.7902256036823868,0.47644927536231885,0.5957489023693499,0.611690294161241,24,23,14.486250322209992,False,False,False,34.681155893929684,False,False,False
40,325.0,0.3020025360436831,0.5887681159420289,18.905028690887903,18.8859720111796,24,23,204.0,0.12810406034044802,0.3695652173913043,0.6116465474016309,0.6285444847118721,24,23,30.72312612026815,False,False,False,30.97085635744761,False,False,False
41,344.0,0.15086142558629534,0.6231884057971014,18.818981854218332,18.68975488554829,24,23,261.0,0.7576406619373144,0.47282608695652173,0.6153672991167825,0.6194419838012749,24,23,14.368475929346495,False,False,False,35.512551530910216,False,False,False
42,355.0,0.09480250293078125,0.6431159420289855,18.722830234267654,18.457805328534988,24,23,252.0,0.6169953637949551,0.45652173913043476,0.6102248563312835,0.6127513739602217,24,23,10.160767491434939,False,False,False,34.82683654101494,False,False,False
43,266.0,0.8397811470865129,0.48188405797101447,18.85337529127624,18.95174602941718,24,23,240.0,0.4499549276146769,0.43478260869565216,0.5532657737782186,0.5769624297365656,24,23,17.49992536801026,False,False,False,34.939768441701986,False,False,False
44,276.0,1.0,0.5,18.895571772451817,18.977495053740608,24,23,242.0,0.47589071739669675,0.4384057971014493,0.5602041108924667,0.5849343927028151,24,23,29.335522626897617,False,False,False,35.996394209174156,False,False,False
45,321.0,0.3436271148554936,0.5815217391304348,18.8829174284855,18.70348967731542,24,23,265.0,0.8231815274918841,0.48007246376811596,0.6288599698557774,0.6171860590252333,24,23,25.91439001337453,False,False,False,35.178388279484864,False,False,False
46,350.0,0.11777439286349586,0.6340579710144928,18.81632282445058,18.66031730269284,24,23,249.0,0.5727830892082293,0.45108695652173914,0.6249420740390841,0.616477939394957,24,23,25.488855203843165,False,False,False,3.8981366339815557,False,False,False
47,331.0,0.2461151672187305,0.5996376811594203,18.68507785985113,18.60805213750194,24,23,264.0,0.8066606559445169,0.4782608695652174,0.6327461076124425,0.6282690108210786,24,23,16.272594427774923,False,False,False,32.867031236475015,False,False,False
48,292.0,0.7415043087592827,0.5289855072463768,18.936416294458844,18.96049762287334,24,23,253.0,0.6320582930091349,0.4583333333333333,0.5554594544478171,0.558316269569164,24,23,24.59646883389268,False,False,False,27.830946826823144,False,False,False
49,287.0,0.8231815274918841,0.519927536231884,18.879148828106302,18.91481432744633,24,23,240.0,0.4499549276146769,0.43478260869565216,0.5673957860103651,0.5790345220816084,24,23,29.211937549619694,False,False,False,37.60724482073093,False,False,False
50,357.0,0.08668425440088963,0.6467391304347826,18.7632072774827,18.115730957057497,24,23,243.0,0.4891597095761495,0.44021739130434784,0.6168802851825859,0.6144038980238556,24,23,31.013300709670517,False,False,False,37.176137927787366,False,False,False
51,350.0,0.11777439286349586,0.6340579710144928,18.65467666081843,18.028153766809734,24,23,233.0,0.3657515014317637,0.4221014492753623,0.6205824925770371,0.6381887451019685,24,23,28.19293800079837,False,False,False,13.170904439870146,False,False,False
52,343.0,0.15700576611852554,0.6213768115942029,18.589474141815916,18.36906945057543,24,23,247.0,0.5441693209533585,0.447463768115942,0.6320648377894089,0.6455129165268781,24,23,28.780290875815002,False,False,False,38.24616884724754,False,False,False
53,348.0,0.12810406034044802,0.6304347826086957,18.61521876886799,18.250792395622035,24,23,241.0,0.46282151671134464,0.4365942028985507,0.6099211407467566,0.6408946165740821,24,23,22.70645256101928,False,False,False,36.56289982019623,False,False,False
54,347.0,0.13352644740886185,0.6286231884057971,18.696811472562267,18.370012252969847,24,23,218.0,0.221072490664723,0.39492753623188404,0.5758530175579071,0.6106812657810933,24,23,19.359855742668405,False,False,False,24.835182488614837,False,False,False
55,328.0,0.27308193265189773,0.5942028985507246,18.786708511876384,18.463288205814308,24,23,216.0,0.20542570708751917,0.391304347826087,0.5471652358397786,0.5587910654298075,24,23,16.277596298075974,False,False,False,32.700754281132625,False,False,False
56,317.0,0.388744069374785,0.5742753623188406,18.843495258088378,18.56296268651908,24,23,262.0,0.7738833276987518,0.4746376811594203,0.5934308860666232,0.5967740764056839,24,23,14.604024715073487,False,False,False,35.10735699749921,False,False,False
57,346.0,0.13912475468441005,0.6268115942028986,18.779093699558306,18.20425578360741,24,23,202.0,0.11777439286349586,0.36594202898550726,0.6217328670365092,0.6353710767489182,24,23,10.881866355219229,False,False,False,31.602914650456743,False,False,False
58,341.0,0.16986082052303642,0.6177536231884058,18.31957281762294,17.82212763973771,24,23,232.0,0.35458034716422326,0.42028985507246375,0.6036733041869897,0.6371128386979986,24,23,28.298319064128755,False,False,False,22.12631690310683,False,False,False
59,347.0,0.13352644740886185,0.6286231884057971,18.366412008383392,17.709152433794902,24,23,236.0,0.4005631908703319,0.427536231884058,0.6071008589018186,0.6558071287260506,24,23,24.413436388502518,False,False,False,5.643747113348312,False,False,False
60,350.0,0.11777439286349586,0.6340579710144928,18.52603023053559,18.199612853020568,24,23,238.0,0.4248397357489112,0.4311594202898551,0.6120592515215516,0.6443811287601963,24,23,28.690240924149894,False,False,False,0.9915101046715017,False,False,False
61,342.0,0.16333796807724754,0.6195652173913043,18.683682055019496,18.28797706314977,24,23,243.0,0.4891597095761495,0.44021739130434784,0.5932703352278075,0.6111670631110041,24,23,20.000319564775225,False,False,False,24.97672813138074,False,False,False
62,336.0,0.20542570708751917,0.6086956521739131,18.538745631981868,18.149393939393335,24,23,225.0,0.28250397161801766,0.4076086956521739,0.5880721471921194,0.6145972811801975,24,23,24.282930127731273,False,False,False,35.52342180390631,False,False,False
63,330.0,0.25488855203843164,0.5978260869565217,18.804442466864973,18.40266633141838,24,23,264.0,0.8066606559445169,0.4782608695652174,0.6069643911085825,0.6082843997905032,24,23,29.68749604481516,False,False,False,36.57515014317637,False,False,False
